"year","state","state_po","candidate","candidatevotes","totalvotes","party_simplified","voteshare","winner"
2008,"TEXAS","TX","OBAMA, BARACK H.",3528633,8077795,"DEMOCRAT",0.436831214458896,0
2008,"UTAH","UT","MCCAIN, JOHN",596030,952370,"REPUBLICAN",0.625838697145017,1
2008,"UTAH","UT","OBAMA, BARACK H.",327670,952370,"DEMOCRAT",0.344057456660752,0
2008,"VERMONT","VT","OBAMA, BARACK H.",219262,325046,"DEMOCRAT",0.674556831956092,1
2008,"VERMONT","VT","MCCAIN, JOHN",98974,325046,"REPUBLICAN",0.304492287245498,0
2008,"VIRGINIA","VA","OBAMA, BARACK H.",1959532,3723260,"DEMOCRAT",0.526294698731757,1
2008,"VIRGINIA","VA","MCCAIN, JOHN",1725005,3723260,"REPUBLICAN",0.463305006902553,0
2008,"WASHINGTON","WA","OBAMA, BARACK H.",1750848,3036878,"DEMOCRAT",0.576528922136484,1
2008,"WASHINGTON","WA","MCCAIN, JOHN",1229216,3036878,"REPUBLICAN",0.404763049421149,0
2008,"WEST VIRGINIA","WV","MCCAIN, JOHN",397466,713451,"REPUBLICAN",0.557103431069548,1
2008,"WEST VIRGINIA","WV","OBAMA, BARACK H.",303857,713451,"DEMOCRAT",0.425897503822968,0
2008,"WISCONSIN","WI","OBAMA, BARACK H.",1677211,2983417,"DEMOCRAT",0.562177865179423,1
2008,"WISCONSIN","WI","MCCAIN, JOHN",1262393,2983417,"REPUBLICAN",0.423136624883481,0
2008,"WYOMING","WY","MCCAIN, JOHN",164958,254904,"REPUBLICAN",0.647137745974955,1
2008,"WYOMING","WY","OBAMA, BARACK H.",82868,254904,"DEMOCRAT",0.325094937702037,0
2012,"ALABAMA","AL","ROMNEY, MITT",1255925,2074338,"REPUBLICAN",0.605458223298228,1
2012,"ALABAMA","AL","OBAMA, BARACK H.",795696,2074338,"DEMOCRAT",0.383590330987525,0
2012,"ALASKA","AK","ROMNEY, MITT",164676,300495,"REPUBLICAN",0.548015773972945,1
2012,"ALASKA","AK","OBAMA, BARACK H.",122640,300495,"DEMOCRAT",0.408126591124644,0
2012,"ARIZONA","AZ","ROMNEY, MITT",1233654,2299254,"REPUBLICAN",0.536545331659747,1
2012,"ARIZONA","AZ","OBAMA, BARACK H.",1025232,2299254,"DEMOCRAT",0.445897669417994,0
2012,"ARKANSAS","AR","ROMNEY, MITT",647744,1069468,"REPUBLICAN",0.605669360841091,1
2012,"ARKANSAS","AR","OBAMA, BARACK H.",394409,1069468,"DEMOCRAT",0.368789903017201,0
2012,"CALIFORNIA","CA","OBAMA, BARACK H.",7854285,13038547,"DEMOCRAT",0.602389591416896,1
2012,"CALIFORNIA","CA","ROMNEY, MITT",4839958,13038547,"REPUBLICAN",0.371203785207048,0
2012,"COLORADO","CO","OBAMA, BARACK H.",1323101,2569516,"DEMOCRAT",0.514922265516152,1
2012,"COLORADO","CO","ROMNEY, MITT",1185243,2569516,"REPUBLICAN",0.46127091639048,0
2012,"CONNECTICUT","CT","OBAMA, BARACK H.",905083,1558204,"DEMOCRAT",0.580850132588544,1
2012,"CONNECTICUT","CT","ROMNEY, MITT",634892,1558204,"REPUBLICAN",0.40745114246915,0
2012,"DELAWARE","DE","OBAMA, BARACK H.",242584,413890,"DEMOCRAT",0.586107419845853,1
